timestamp,light_Shower,light_FR,light_FL,plug_AC,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,temp_Bedroom temp,temp_Outdoor temp,motion_Motion living room,light_environment,door_Door
05-06-24 05:25,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:25,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:26,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:27,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:28,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:29,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:30,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:31,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:32,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:33,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:34,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:35,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:36,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:37,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:38,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:39,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:40,0,0,0,1,0,0,0,263,311,0,3,0
05-06-24 05:41,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:42,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:42,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:43,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:44,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:45,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:46,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:47,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:48,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:49,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:50,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:51,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:52,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:53,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:54,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:55,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:56,0,0,0,1,0,0,0,263,315,1,3,0
05-06-24 05:57,0,0,0,1,0,0,0,263,315,0,3,0
05-06-24 05:58,0,0,0,1,1,0,0,263,315,0,3,0
05-06-24 05:59,0,0,0,1,1,0,0,263,315,0,3,0
05-06-24 05:59,0,0,0,1,1,0,0,263,315,0,3,0
05-06-24 06:00,0,0,0,1,1,0,0,263,315,0,3,0
05-06-24 06:01,0,0,0,1,1,0,0,263,315,0,3,0
05-06-24 06:02,0,0,0,1,1,0,0,263,315,0,3,0
05-06-24 06:03,0,0,0,1,1,0,0,263,315,0,3,0
05-06-24 06:04,0,0,0,1,1,0,0,263,318,0,3,0
05-06-24 06:05,0,0,0,1,1,0,0,263,318,0,3,0
05-06-24 06:06,0,0,0,1,1,0,0,263,318,1,3,0
05-06-24 06:07,0,0,0,1,1,0,0,263,318,1,3,0
05-06-24 06:08,0,0,0,1,1,0,0,263,318,0,3,0
05-06-24 06:09,0,0,0,1,1,0,0,263,318,0,3,0
05-06-24 06:10,0,0,0,1,1,0,0,263,318,0,3,0
05-06-24 06:11,0,0,0,1,1,0,0,263,318,0,3,0
05-06-24 06:12,0,0,0,1,1,0,0,263,318,0,3,0
05-06-24 06:13,0,0,0,1,1,0,0,279,318,0,3,0
05-06-24 06:14,0,0,0,1,1,0,0,279,318,0,3,0
05-06-24 06:15,0,0,0,1,1,0,0,279,318,0,3,0
05-06-24 06:16,0,0,0,1,1,0,0,279,318,1,3,0
05-06-24 06:17,0,0,0,1,1,0,0,279,318,0,3,0
05-06-24 06:17,0,0,0,1,1,0,0,279,318,0,3,0
05-06-24 06:18,0,0,0,1,1,0,0,279,318,1,3,0
05-06-24 06:19,0,0,0,0,1,0,0,279,318,0,3,1
05-06-24 06:20,0,0,0,0,1,0,0,279,318,0,3,1
05-06-24 06:21,0,0,0,0,1,0,0,279,318,0,3,1
05-06-24 06:22,0,0,0,0,1,0,0,279,318,0,3,1
05-06-24 06:23,0,0,0,0,1,0,0,279,318,0,3,1
05-06-24 06:24,0,0,0,0,1,0,0,279,318,0,3,1
05-06-24 06:25,0,0,0,0,1,0,0,279,318,0,3,1
05-06-24 06:26,0,0,0,0,1,0,0,279,318,0,3,1
05-06-24 06:27,0,0,0,0,1,0,0,279,318,0,3,1
05-06-24 06:28,0,0,0,0,1,0,0,288,318,0,3,1
05-06-24 06:29,0,0,0,0,1,0,0,288,318,0,3,1
05-06-24 06:30,0,0,0,0,1,0,0,288,318,0,3,1
05-06-24 06:31,0,0,0,0,1,0,0,288,318,0,3,1
05-06-24 06:32,0,0,0,0,1,0,0,288,318,0,3,1
05-06-24 06:33,0,0,0,0,1,0,0,288,322,0,3,1
05-06-24 06:34,0,0,0,0,1,0,0,288,322,0,3,1
05-06-24 06:34,0,0,0,0,1,0,0,288,322,1,3,1
05-06-24 06:35,0,0,0,0,1,0,0,288,322,0,3,1
05-06-24 06:36,0,0,0,0,1,0,0,288,322,0,3,1
05-06-24 06:37,0,0,0,0,1,0,0,288,322,0,3,1
05-06-24 06:38,0,0,0,0,1,0,0,288,322,0,3,1
05-06-24 06:39,0,0,0,0,1,0,0,288,322,0,3,1
05-06-24 06:40,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:41,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:42,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:43,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:44,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:45,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:46,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:47,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:48,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:49,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:50,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:51,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:51,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:52,0,0,0,0,1,0,0,288,325,0,3,1
05-06-24 06:53,0,0,0,0,1,0,0,288,325,0,3,1
