light_Shower,light_FR,light_FL,plug_AC,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,temp_Bedroom temp,temp_Outdoor temp,motion_Motion living room,light_environment,door_Door,weekday
0,1,1,1,0,0,1,0.215517241,0.431034483,0,0,0,1
0,1,1,1,0,0,0,0.25862069,0.431034483,0,0,0,1
0,1,1,1,0,0,0,0.25862069,0.431034483,0,0,0,1
0,1,1,1,0,0,1,0.25862069,0.422413793,0,0,0,1
0,1,1,1,0,0,1,0.25862069,0.422413793,0,0,0,1
0,1,1,1,0,0,0,0.25862069,0.422413793,0,0,0,1
0,1,1,1,0,0,0,0.25862069,0.422413793,0,0,0,1
0,1,1,1,0,0,0,0.25862069,0.422413793,0,0,0,1
0,1,1,1,0,0,1,0.25862069,0.422413793,0,0,0,1
0,1,1,1,0,0,0,0.25862069,0.413793103,0,0,0,1
0,1,1,1,0,0,0,0.25862069,0.413793103,0,0,0,1
0,1,1,1,0,0,0,0.211206897,0.413793103,0,0,0,1
0,1,1,1,0,0,1,0.211206897,0.413793103,0,0,1,1
0,1,1,1,0,0,0,0.211206897,0.413793103,0,0,0,1
0,1,1,1,0,0,0,0.168103448,0.413793103,0,0,0,1
0,1,1,1,0,0,0,0.168103448,0.392241379,0,0,0,1
0,1,1,1,0,0,0,0.168103448,0.392241379,0,0,0,1
0,1,1,1,0,0,0,0.168103448,0.392241379,0,0,0,1
0,1,1,1,0,0,0,0.168103448,0.392241379,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.379310345,1,0,0,0
0,0,0,1,0,0,0,0.077586207,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.396551724,0,0,0,0
0,1,1,0,0,0,0,0.577586207,0.573275862,1,0,1,0
0,0,0,0,0,0,0,0.577586207,0.547413793,0,0,0,0
0,0,0,0,1,0,0,0.577586207,0.517241379,0,0,0,0
0,0,0,0,1,0,0,0.577586207,0.487068966,0,0,0,0
0,0,0,0,1,0,0,0.577586207,0.474137931,0,0,0,0
0,0,0,0,1,0,0,0.577586207,0.456896552,0,0,0,0
