light_Shower,light_FR,light_FL,plug_AC,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,temp_Bedroom temp,temp_Outdoor temp,motion_Motion living room,light_environment,door_Door,weekday
0,0,0,1,0,0,0,0.159482759,0.340517241,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.340517241,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.340517241,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.340517241,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.340517241,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.340517241,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.357758621,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.357758621,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.357758621,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.357758621,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.357758621,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.11637931,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.11637931,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.11637931,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.11637931,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.11637931,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.11637931,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.11637931,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.11637931,0.38362069,0,0,0,1
0,0,0,0,0,0,0,0.11637931,0.38362069,0,0,0,1
0,0,0,0,0,0,0,0.11637931,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.155172414,0.456896552,0,0,0,1
0,0,0,1,0,0,0,0.155172414,0.456896552,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.456896552,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.456896552,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.456896552,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.456896552,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.456896552,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.443965517,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.431034483,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.431034483,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.413793103,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.413793103,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.400862069,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.400862069,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.400862069,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.400862069,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.400862069,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.400862069,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.387931034,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.387931034,0,0,0,1
0,0,0,1,0,0,0,0.181034483,0.387931034,0,0,0,1
0,0,0,1,0,0,0,0.13362069,0.387931034,0,0,0,1
0,0,0,1,0,0,0,0.13362069,0.387931034,0,0,0,1
0,0,0,1,0,0,0,0.13362069,0.387931034,0,0,0,1
0,0,0,1,0,0,0,0.13362069,0.387931034,0,0,0,1
0,0,0,1,0,0,0,0.13362069,0.387931034,0,0,0,1
0,0,0,1,0,0,0,0.13362069,0.387931034,0,0,0,1
0,0,0,1,0,0,0,0.13362069,0.387931034,0,0,0,1
0,0,0,1,0,0,0,0.13362069,0.387931034,0,0,0,1
0,0,0,1,0,0,0,0.13362069,0.387931034,0,0,0,1
0,0,0,1,0,0,0,0.13362069,0.392241379,0,0,0,1
0,0,0,1,0,0,0,0.13362069,0.392241379,0,0,0,1
0,0,0,1,0,0,0,0.13362069,0.392241379,0,0,0,1
