light_Shower,light_FR,light_FL,plug_AC,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,timestamp
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 17:40:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 17:50:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 18:00:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 18:10:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 18:20:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 18:30:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 18:40:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 18:50:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 19:00:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 19:10:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 19:20:00
0.0,1.0,1.0,1,0.0,0.0,0.0,2024-07-05 19:30:00
0.0,1.0,1.0,1,0.0,0.0,0.0,2024-07-05 19:40:00
0.0,1.0,1.0,1,0.0,0.0,0.0,2024-07-05 19:50:00
0.0,1.0,1.0,1,1.0,0.0,0.0,2024-07-05 20:00:00
0.0,1.0,1.0,1,1.0,0.0,0.0,2024-07-05 20:10:00
0.0,1.0,1.0,1,1.0,0.0,0.0,2024-07-05 20:20:00
0.0,1.0,1.0,1,1.0,0.0,0.0,2024-07-05 20:30:00
0.0,1.0,1.0,1,1.0,0.0,0.0,2024-07-05 20:40:00
0.0,0.0,0.0,1,1.0,0.0,0.0,2024-07-05 20:50:00
0.0,0.0,0.0,1,1.0,0.0,0.0,2024-07-05 21:00:00
0.0,1.0,0.0,1,1.0,0.0,0.0,2024-07-05 21:10:00
0.0,1.0,0.0,1,1.0,0.0,0.0,2024-07-05 21:20:00
0.0,1.0,1.0,1,1.0,0.0,0.0,2024-07-05 21:30:00
0.0,1.0,1.0,1,1.0,0.0,1.0,2024-07-05 21:40:00
0.0,1.0,1.0,1,0.0,0.0,1.0,2024-07-05 21:50:00
0.0,0.0,0.0,1,0.0,0.0,1.0,2024-07-05 22:00:00
0.0,1.0,1.0,1,0.0,0.0,1.0,2024-07-05 22:10:00
0.0,1.0,1.0,1,0.0,0.0,1.0,2024-07-05 22:20:00
0.0,0.0,0.0,1,0.0,0.0,1.0,2024-07-05 22:30:00
0.0,0.0,0.0,1,0.0,0.0,1.0,2024-07-05 22:40:00
0.0,0.0,0.0,1,0.0,0.0,1.0,2024-07-05 22:50:00
0.0,0.0,0.0,0,1.0,0.0,1.0,2024-07-05 23:00:00
0.0,0.0,0.0,0,1.0,0.0,1.0,2024-07-05 23:10:00
0.0,0.0,0.0,1,1.0,0.0,1.0,2024-07-05 23:20:00
0.0,0.0,0.0,1,1.0,0.0,1.0,2024-07-05 23:30:00
0.0,0.0,0.0,1,1.0,0.0,1.0,2024-07-05 23:40:00
0.0,0.0,0.0,1,1.0,0.0,1.0,2024-07-05 23:50:00
