light_Shower,light_FR,light_FL,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,temp_Bedroom temp,temp_Outdoor temp,motion_Motion living room,light_environment,door_Door,plug_AC,weekday
1,0,0,0,0,1,300,304,1,1,0,0,1
1,0,0,0,0,0,300,304,0,1,0,0,1
1,0,0,0,0,0,300,304,0,1,0,0,1
1,0,0,0,0,0,289,299,0,1,0,0,1
1,0,0,0,0,0,289,299,0,1,0,0,1
1,0,0,0,0,0,289,299,0,1,0,0,1
1,0,0,0,0,0,289,299,0,1,0,0,1
1,0,0,0,0,0,274,299,0,1,0,0,1
1,0,0,0,0,0,274,299,0,1,0,0,1
1,0,0,0,0,0,274,297,0,1,0,0,1
1,0,0,0,0,0,274,297,0,1,0,0,1
1,0,0,0,0,0,274,297,0,1,0,0,1
1,0,0,0,0,0,274,297,0,1,0,0,1
1,0,0,0,0,0,274,297,0,1,0,0,1
1,0,0,0,0,0,274,297,0,1,0,0,1
1,0,0,0,0,0,274,296,0,1,0,0,1
1,0,0,0,0,0,274,296,0,1,0,0,1
1,0,0,0,0,0,274,296,0,1,0,0,1
1,0,0,0,0,0,274,296,0,1,0,0,1
1,0,0,0,0,0,274,296,0,1,0,0,1
1,0,0,0,0,0,274,296,0,1,0,0,1
1,0,0,0,0,0,274,296,0,1,0,0,1
1,0,0,0,0,0,274,296,0,1,0,0,1
1,0,0,0,0,0,274,296,0,1,0,0,1
1,0,0,0,0,0,264,296,0,1,0,0,1
1,0,0,0,0,0,264,296,0,1,0,0,1
1,0,0,0,0,0,264,296,0,1,0,0,1
1,0,0,0,0,0,264,295,0,1,0,0,1
1,0,0,0,0,0,264,295,0,1,0,0,1
1,0,0,0,0,0,264,295,0,1,0,0,1
1,0,0,0,0,0,264,295,0,1,0,0,1
1,0,0,0,0,0,264,295,0,1,0,0,1
1,0,0,0,0,0,264,295,0,1,0,0,1
1,0,0,0,0,0,264,295,0,1,0,0,1
1,0,0,0,0,0,264,295,0,1,0,0,1
1,0,0,0,0,0,264,295,0,1,0,0,1
1,0,0,0,0,0,264,295,0,1,0,0,1
1,0,0,0,0,0,264,295,0,1,0,0,1
1,0,0,0,0,0,264,295,0,1,0,0,1
1,0,0,0,0,0,264,294,0,1,0,0,1
1,0,0,0,0,0,264,294,0,1,0,0,1
1,0,0,0,0,0,264,294,0,1,0,0,1
1,0,0,0,0,0,264,294,0,1,0,0,1
1,0,0,0,0,0,264,294,0,1,0,0,1
1,0,0,0,0,0,264,294,0,1,0,0,1
1,0,0,0,0,0,264,293,0,1,0,0,1
1,0,0,0,0,0,264,293,0,1,0,0,1
1,0,0,0,0,0,264,293,0,1,0,0,1
1,0,0,0,0,0,264,293,0,1,0,0,1
1,0,0,0,0,0,259,293,0,1,0,0,1
1,0,0,0,0,0,259,293,0,1,0,0,1
1,0,0,0,0,0,259,292,0,1,0,0,1
1,0,0,0,0,0,259,292,0,3,0,0,1
1,0,0,0,0,0,259,292,0,2,0,0,1
1,0,0,0,0,0,259,294,0,3,0,0,1
1,0,0,0,0,0,259,294,0,3,0,0,1
1,0,0,0,0,0,259,297,0,2,0,0,1
1,0,0,0,0,0,259,301,1,3,0,0,1
1,0,0,0,0,0,259,301,0,3,0,0,1
1,0,0,0,0,0,259,305,0,3,0,0,1
1,0,0,0,0,0,259,305,0,3,0,0,1
